EXID,Preferred name,Degree,Group name,ID,Synonyms
REACT:R397014,muscle contraction,12,Pathway,REACT:R397014,muscle contraction
REACT:R975871,myd88 cascade initiated on plasma membrane,17,Pathway,REACT:R975871,myd88 cascade initiated on plasma membrane
REACT:R5602498,myd88 deficiency (tlr2/4),4,Pathway,REACT:R5602498,myd88 deficiency (tlr2/4)
REACT:R975155,myd88 dependent cascade initiated on endosome,17,Pathway,REACT:R975155,myd88 dependent cascade initiated on endosome
REACT:R166166,myd88-independent tlr3/tlr4 cascade,17,Pathway,REACT:R166166,myd88-independent tlr3/tlr4 cascade
REACT:R166058,myd88:mal cascade initiated on plasma membrane,17,Pathway,REACT:R166058,myd88:mal cascade initiated on plasma membrane
REACT:R442660,na+/cl- dependent neurotransmitter transporters,3,Pathway,REACT:R442660,na+/cl- dependent neurotransmitter transporters
KEGG:hsa04650,natural killer cell mediated cytotoxicity,21,Pathway,KEGG:hsa04650,natural killer cell mediated cytotoxicity
REACT:R419037,ncam1 interactions,7,Pathway,REACT:R419037,ncam1 interactions
REACT:R375165,ncam signaling for neurite out-growth,16,Pathway,REACT:R375165,ncam signaling for neurite out-growth
REACT:R5675221,negative regulation of mapk pathway,13,Pathway,REACT:R5675221,negative regulation of mapk pathway
REACT:R6807004,negative regulation of met activity,3,Pathway,REACT:R6807004,negative regulation of met activity
REACT:R199418,negative regulation of the pi3k/akt network,19,Pathway,REACT:R199418,negative regulation of the pi3k/akt network
REACT:R373752,netrin-1 signaling,8,Pathway,REACT:R373752,netrin-1 signaling
KEGG:hsa04080,neuroactive ligand-receptor interaction,13,Pathway,KEGG:hsa04080,neuroactive ligand-receptor interaction
REACT:R8863678,neurodegenerative diseases,12,Pathway,REACT:R8863678,neurodegenerative diseases
REACT:R112316,neuronal system,20,Pathway,REACT:R112316,neuronal system
REACT:R112314,neurotransmitter receptor binding and downstream transmission in the  postsynaptic cell,15,Pathway,REACT:R112314,neurotransmitter receptor binding and downstream transmission in the  postsynaptic cell
REACT:R112310,neurotransmitter release cycle,9,Pathway,REACT:R112310,neurotransmitter release cycle
KEGG:hsa04722,neurotrophin signaling pathway,25,Pathway,KEGG:hsa04722,neurotrophin signaling pathway
REACT:R6798695,neutrophil degranulation,21,Pathway,REACT:R6798695,neutrophil degranulation
KEGG:hsa04064,nf-kappa b signaling pathway,25,Pathway,KEGG:hsa04064,nf-kappa b signaling pathway
REACT:R933543,nf-kb activation through fadd/rip-1 pathway mediated by caspase-8 and -10,2,Pathway,REACT:R933543,nf-kb activation through fadd/rip-1 pathway mediated by caspase-8 and -10
