Source,Target,Source preferred name,Target preferred name,Interaction,Source group,Target group,Database,Edge type
EX:E004815849,EX:G11389793,arsenic,CBFA2T3,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389795,arsenic,CBFB,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11403995,arsenic,CBLL1,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11405250,arsenic,CBR4,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389803,arsenic,CBS,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11395696,arsenic,CBX4,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11408967,arsenic,CBY2,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11402739,arsenic,CC2D2A,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11400289,arsenic,CCDC106,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11410645,arsenic,CCDC137,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11407914,arsenic,CCDC140,increases^methylation,Exposure,Gene,ctd^21291286,1
EX:E004815849,EX:G11396625,arsenic,CCDC144A,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11410038,arsenic,CCDC150,increases^methylation,Exposure,Gene,ctd^21291286,1
EX:E004815849,EX:G11415582,arsenic,CCDC154,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11410740,arsenic,CCDC158,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11406756,arsenic,CCDC163,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11402426,arsenic,CCDC177,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11411484,arsenic,CCDC178,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11401749,arsenic,CCDC25,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11404691,arsenic,CCDC3,decreases^expression|increases^abundance,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11402478,arsenic,CCDC47,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11409848,arsenic,CCDC57,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11400194,arsenic,CCDC59,affects^expression,Exposure,Gene,ctd^18414638,1
EX:E004815849,EX:G11395375,arsenic,CCDC6,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11408241,arsenic,CCDC60,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11404244,arsenic,CCDC68,increases^methylation,Exposure,Gene,ctd^24525453,1
EX:E004815849,EX:G11405612,arsenic,CCDC74A,decreases^expression|increases^abundance,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11405700,arsenic,CCDC74B,decreases^expression|increases^abundance,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11408961,arsenic,CCDC83,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11410359,arsenic,CCDC85C,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11409685,arsenic,CCDC88B,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11413720,arsenic,CCDC88C,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11408983,arsenic,CCDC89,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11401794,arsenic,CCDC91,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11401253,arsenic,CCHCR1,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389809,arsenic,CCKAR,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11394105,arsenic,CCL1,affects^cotreatment|decreases^expression,Exposure,Gene,ctd^19962721,1
EX:E004815849,EX:G11394115,arsenic,CCL14,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11394119,arsenic,CCL18,affects^cotreatment|decreases^expression,Exposure,Gene,ctd^19962721,1
EX:E004815849,EX:G11394120,arsenic,CCL19,affects^cotreatment|decreases^expression,Exposure,Gene,ctd^19962721,1
EX:E004815849,EX:G11394106,arsenic,CCL2,increases^expression,Exposure,Gene,ctd^12928151,1
EX:E004815849,EX:G11394121,arsenic,CCL20,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11394123,arsenic,CCL21,affects^cotreatment|decreases^expression,Exposure,Gene,ctd^19962721,1
EX:E004815849,EX:G11394124,arsenic,CCL22,decreases^response to substance,Exposure,Gene,ctd^17976673,1
EX:E004815849,EX:G11394126,arsenic,CCL24,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11397173,arsenic,CCL26,affects^expression,Exposure,Gene,ctd^28793237,1
EX:E004815849,EX:G11413571,arsenic,CCL3L3,decreases^expression,Exposure,Gene,ctd^16835338,1
EX:E004815849,EX:G11394109,arsenic,CCL4,decreases^expression,Exposure,Gene,ctd^16835338,1
EX:E004815849,EX:G11394110,arsenic,CCL5,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11394111,arsenic,CCL7,affects^expression|increases^abundance,Exposure,Gene,ctd^28793237,1
EX:E004815849,EX:G11396000,arsenic,CCNA1,increases^expression,Exposure,Gene,ctd^20654705,1
EX:E004815849,EX:G11389812,arsenic,CCNA2,affects^cotreatment|decreases^expression,Exposure,Gene,ctd^31739468,1
EX:E004815849,EX:G11389813,arsenic,CCNB1,increases^expression,Exposure,Gene,ctd^25868784,1
EX:E004815849,EX:G11389814,arsenic,CCNC,increases^expression,Exposure,Gene,ctd^20654705,1
EX:E004815849,EX:G11389572,arsenic,CCND1,increases^expression,Exposure,Gene,ctd^17306315|19945496,1
EX:E004815849,EX:G11389815,arsenic,CCND2,increases^expression,Exposure,Gene,ctd^19945496,1
EX:E004815849,EX:G11389819,arsenic,CCNE1,increases^expression,Exposure,Gene,ctd^11134558,1
EX:E004815849,EX:G11396160,arsenic,CCNE2,decreases^expression,Exposure,Gene,ctd^19945496,1
EX:E004815849,EX:G11389821,arsenic,CCNG1,increases^expression,Exposure,Gene,ctd^11134558,1
EX:E004815849,EX:G11403787,arsenic,CCNJL,increases^abundance|increases^expression,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11397143,arsenic,CCNO,increases^methylation,Exposure,Gene,ctd^21291286,1
EX:E004815849,EX:G11390086,arsenic,CCR1,affects^cotreatment|decreases^expression,Exposure,Gene,ctd^19962721,1
EX:E004815849,EX:G11417080,arsenic,CCR2,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11396078,arsenic,CCRL2,decreases^expression,Exposure,Gene,ctd^16835338,1
EX:E004815849,EX:G11413016,arsenic,CCSER1,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11407832,arsenic,CCT8L2,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11407138,arsenic,CD109,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389847,arsenic,CD14,increases^expression,Exposure,Gene,ctd^12928151,1
EX:E004815849,EX:G11389893,arsenic,CD151,increases^methylation,Exposure,Gene,ctd^24525453,1
EX:E004815849,EX:G11409700,arsenic,CD163L1,increases^expression,Exposure,Gene,ctd^36861143,1
EX:E004815849,EX:G11389828,arsenic,CD1A,affects^expression,Exposure,Gene,ctd^28793237,1
EX:E004815849,EX:G11389833,arsenic,CD2,increases^methylation,Exposure,Gene,ctd^27838757,1
EX:E004815849,EX:G11389837,arsenic,CD247,affects^expression,Exposure,Gene,ctd^18414638,1
EX:E004815849,EX:G11389856,arsenic,CD27,decreases^methylation,Exposure,Gene,ctd^27838757,1
EX:E004815849,EX:G11398617,arsenic,CD2AP,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389865,arsenic,CD36,decreases^expression|increases^abundance,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11389868,arsenic,CD37,decreases^methylation,Exposure,Gene,ctd^31135185,1
EX:E004815849,EX:G11389835,arsenic,CD3E,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389875,arsenic,CD40,affects^cotreatment|increases^expression,Exposure,Gene,ctd^19962721,1
EX:E004815849,EX:G11389876,arsenic,CD40LG,affects^cotreatment|decreases^expression,Exposure,Gene,ctd^19962721,1
EX:E004815849,EX:G11389877,arsenic,CD44,decreases^expression,Exposure,Gene,ctd^16835338,1
EX:E004815849,EX:G11389881,arsenic,CD58,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389882,arsenic,CD59,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389841,arsenic,CD6,decreases^methylation,Exposure,Gene,ctd^27838757,1
EX:E004815849,EX:G11389884,arsenic,CD68,increases^abundance|increases^expression,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11389885,arsenic,CD69,affects^expression,Exposure,Gene,ctd^18414638,1
EX:E004815849,EX:G11389887,arsenic,CD72,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11396286,arsenic,CD83,decreases^expression,Exposure,Gene,ctd^16835338,1
EX:E004815849,EX:G11389859,arsenic,CD86,increases^abundance|increases^expression,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11389843,arsenic,CD8A,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389846,arsenic,CD9,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11404535,arsenic,CDADC1,affects^expression,Exposure,Gene,ctd^18414638,1
EX:E004815849,EX:G11395716,arsenic,CDC14B,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11395983,arsenic,CDC16,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389902,arsenic,CDC20,decreases^expression|increases^abundance,Exposure,Gene,ctd^35809665,1
EX:E004815849,EX:G11389903,arsenic,CDC25A,increases^abundance|increases^expression,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11389904,arsenic,CDC25B,increases^abundance|increases^expression,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11389905,arsenic,CDC25C,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11409179,arsenic,CDC26,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389908,arsenic,CDC42,affects^expression,Exposure,Gene,ctd^18414638,1
EX:E004815849,EX:G11395643,arsenic,CDC42BPA,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11396507,arsenic,CDC42BPB,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11404643,arsenic,CDCA3,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11401899,arsenic,CDCA7L,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11403397,arsenic,CDCP1,affects^expression,Exposure,Gene,ctd^18414638,1
EX:E004815849,EX:G11408684,arsenic,CDCP2,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389909,arsenic,CDH1,decreases^expression|decreases^reaction|increases^abundance,Exposure,Gene,ctd^33396024,1
EX:E004815849,EX:G11389924,arsenic,CDH16,affects^expression,Exposure,Gene,ctd^18414638,1
EX:E004815849,EX:G11403258,arsenic,CDH24,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11403029,arsenic,CDH26,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389911,arsenic,CDH3,affects^methylation,Exposure,Gene,ctd^25304211,1
